Nama Kota;Luas Panen 2010;Luas Panen 2011;Luas Panen 2012;Luas Panen 2013;Luas Panen 2014;Luas Panen 2015;Luas Panen 2016;Luas Panen 2017;Luas Panen 2018;Luas Panen 2019;Luas Panen 2020;Luas Panen 2021;Luas Panen 2022;Luas Panen 2023;Luas Panen 2024;Produksi 2010;Produksi 2011;Produksi 2012;Produksi 2013;Produksi 2014;Produksi 2015;Produksi 2016;Produksi 2017;Produksi 2018;Produksi 2019;Produksi 2020;Produksi 2021;Produksi 2022;Produksi 2023;Produksi 2024;Produktivitas 2010;Produktivitas 2011;Produktivitas 2012;Produktivitas 2013;Produktivitas 2014;Produktivitas 2015;Produktivitas 2016;Produktivitas 2017;Produktivitas 2018;Produktivitas 2019;Produktivitas 2020;Produktivitas 2021;Produktivitas 2022;Produktivitas 2023;Produktivitas 2024
1905 - Kab. Bangka Selatan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1906 - Kab. Belitung Timur;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1971 - Kota Pangkal Pinang;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2101 - Kab. Karimun;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2102 - Kab. Bintan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2103 - Kab. Natuna;0;0;0;0;0;0;0;5;0.5;0.4;0.3;0;0;0;0;0;0;0;0;0;0;0;3;0.5;0.4;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2104 - Kab. Lingga;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2105 - Kab. Kepulauan Anambas;0;0;0;0;0;0;1;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2171 - Kota Batam;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2172 - Kota Tanjung Pinang;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3101 - Kab. Kepulauan Seribu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3171 - Kota Jakarta Selatan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3172 - Kota Jakarta Timur;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
